airport	runway	bbox	lat1	lng1	lat2	lng2
ENGM	19L	{lat:60.20126401263564,lng:11.122093697298917},{lat:60.20115198620602,lng:11.12287830136169},{lat:60.18842621136121,lng:11.11552381204587},{lat:60.18853819436213,lng:11.11473948705345},	60.201208	11.122486	60.175756	11.107783
ENGM	19R	{lat:60.21612292160375,lng:11.091271466943903},{lat:60.21601107723686,lng:11.092056531717288},{lat:60.200477905842554,lng:11.08309211952896},{lat:60.200589697259666,lng:11.082307395873698},	60.216067	11.091664	60.185000	11.073744
EPWA	11	{lat:52.171270591901994,lng:20.946561564716895},{lat:52.17167940790154,lng:20.946866436683873},{lat:52.16645584842328,lng:20.96548118983332},{lat:52.16604708041638,lng:20.96517618263912},	52.171475	20.946714	52.161025	20.983939
EPWA	15	{lat:52.17844439616501,lng:20.955517963090774},{lat:52.178699602562034,lng:20.956294039135738},{lat:52.16409474938557,lng:20.969061637447073},{lat:52.16383962675338,lng:20.968285742912627},	52.178572	20.955906	52.149361	20.981433
EPWA	29	{lat:52.16122935990259,lng:20.98409157185047},{lat:52.16082063990058,lng:20.983786429550676},{lat:52.16604708041638,lng:20.96517618263912},{lat:52.16645584842328,lng:20.96548118983332},	52.161025	20.983939	52.171475	20.946714
EPWA	33	{lat:52.14948851882945,lng:20.981820857652295},{lat:52.149233479898434,lng:20.981045144569382},{lat:52.16383962675338,lng:20.968285742912627},{lat:52.16409474938557,lng:20.969061637447073},	52.149361	20.981433	52.178572	20.955906
ESSA	01L	{lat:59.63721654098641,lng:17.913616759508805},{lat:59.63728945782736,lng:17.91282723963362},{lat:59.6518630794406,lng:17.918097283297627},{lat:59.6517901309239,lng:17.918887134690237},	59.637253	17.913222	59.666400	17.923767
ESSA	01R	{lat:59.62636045728253,lng:17.951138601596718},{lat:59.62643354153193,lng:17.950349397544453},{lat:59.637469614442836,lng:17.954347956979003},{lat:59.6373965061649,lng:17.955137411797136},	59.626397	17.950744	59.648469	17.958744
ESSA	08	{lat:59.65822232515277,lng:17.936231276262284},{lat:59.65861567477378,lng:17.936034722585042},{lat:59.66135645126233,lng:17.957544583642274},{lat:59.6609630694921,lng:17.95774090106388},	59.658419	17.936133	59.663897	17.979156
ESSA	19L	{lat:59.6485055655691,lng:17.958349146686746},{lat:59.64843243324437,lng:17.95913885245255},{lat:59.6373965061649,lng:17.955137411797136},{lat:59.637469614442836,lng:17.954347956979003},	59.648469	17.958744	59.626397	17.950744
ESSA	19R	{lat:59.666436489518354,lng:17.92337190795613},{lat:59.666363509294115,lng:17.924162091183828},{lat:59.6517901309239,lng:17.918887134690237},{lat:59.6518630794406,lng:17.918097283297627},	59.666400	17.923767	59.637253	17.913222
ESSA	26	{lat:59.66409370690557,lng:17.979057958905674},{lat:59.663700293021286,lng:17.979254039943978},{lat:59.6609630694921,lng:17.95774090106388},{lat:59.66135645126233,lng:17.957544583642274},	59.663897	17.979156	59.658419	17.936133
KSBD	06	{lat:34.090497864567034,lng:-117.25031864605819},{lat:34.0910141353325,lng:-117.25054135462086},{lat:34.09561512972985,lng:-117.23498565869268},{lat:34.095098830901975,lng:-117.23476303290445},	34.090756	-117.25043	34.099956	-117.219317
KSBD	24	{lat:34.10021416339219,lng:-117.2194282718266},{lat:34.099697836507474,lng:-117.21920572885233},{lat:34.095098830901975,lng:-117.23476303290448},{lat:34.09561512972985,lng:-117.2349856586927},	34.099956	-117.219317	34.090756	-117.25043
LEJR	02	{lat:36.73490118719028,lng:-6.064578244317844},{lat:36.735048812344715,lng:-6.065049756135503},{lat:36.744695914191105,lng:-6.06034637255934},{lat:36.744548270481424,lng:-6.059874810523688},	36.734975	-6.064814	36.754269	-6.055406
LEJR	20	{lat:36.75434283090408,lng:-6.055641806363463},{lat:36.754195168630645,lng:-6.055170194090413},{lat:36.744548270481424,lng:-6.059874810523688},{lat:36.744695914191105,lng:-6.06034637255934},	36.754269	-6.055406	36.734975	-6.064814
LFPG	08L	{lat:48.995483831400165,lng:2.552769203722096},{lat:48.995888168594355,lng:2.552718796073327},{lat:48.997398613329906,lng:2.5809280563329957},{lat:48.996994263875074,lng:2.580978236525469},	48.995686	2.552744	48.998700	2.609164
LFPG	08R	{lat:48.992644893740426,lng:2.5656944817576175},{lat:48.99318310624989,lng:2.565627517880665},{lat:48.99416657248945,lng:2.5840147540897025},{lat:48.99362834935499,lng:2.5840815206380174},	48.992914	2.565661	48.994878	2.602436
LFPG	09L	{lat:49.02444990365001,lng:2.52492568775283},{lat:49.02498809634016,lng:2.5248583118828316},{lat:49.025977064373365,lng:2.543258045571642},{lat:49.025438860987194,lng:2.543325223779345},	49.024719	2.524892	49.026694	2.561692
LFPG	09R	{lat:49.02041483980718,lng:2.51308337258501},{lat:49.02081916018729,lng:2.5130326272088697},{lat:49.02236020480196,lng:2.541649858556018},{lat:49.02195587190235,lng:2.54170037301216},	49.020617	2.513058	49.023692	2.570294
LFPG	26L	{lat:48.99514711685943,lng:2.602402715223541},{lat:48.99460888313098,lng:2.602469284416833},{lat:48.99362834935499,lng:2.584081520638016},{lat:48.99416657248944,lng:2.584014754089702},	48.994878	2.602436	48.992914	2.565661
LFPG	26R	{lat:48.99890218082763,lng:2.609139023553868},{lat:48.998497819166964,lng:2.6091889762433658},{lat:48.996994263875074,lng:2.580978236525469},{lat:48.997398613329906,lng:2.5809280563329966},	48.998700	2.609164	48.995686	2.552744
LFPG	27L	{lat:49.023894172678624,lng:2.5702688581539803},{lat:49.02348982731592,lng:2.57031914164174},{lat:49.02195587190235,lng:2.541700373012159},{lat:49.02236020480196,lng:2.541649858556018},	49.023692	2.570294	49.020617	2.513058
LFPG	27R	{lat:49.02696310702071,lng:2.5616585095594755},{lat:49.02642489296958,lng:2.5617254900782838},{lat:49.025438860987194,lng:2.5433252237793456},{lat:49.025977064373365,lng:2.5432580455716414},	49.026694	2.561692	49.024719	2.524892
LIMC	17L	{lat:45.65031776161759,lng:8.727551769968398},{lat:45.65042023712769,lng:8.728310230725445},{lat:45.633110821096345,lng:8.73309459522471},{lat:45.63300837724118,lng:8.73233636000968},	45.650369	8.727931	45.615750	8.737497
LIMC	17R	{lat:45.64540174607542,lng:8.71834580754709},{lat:45.645504252670115,lng:8.719104193146773},{lat:45.6281933366983,lng:8.723890058007177},{lat:45.62809086176544,lng:8.723131897902485},	45.645453	8.718725	45.610831	8.728294
LIMC	35L	{lat:45.61088222102327,lng:8.728672967748464},{lat:45.61077977772372,lng:8.727915032943724},{lat:45.62809086176544,lng:8.723131897902487},{lat:45.6281933366983,lng:8.723890058007179},	45.610831	8.728294	45.645453	8.718725
LIMC	35R	{lat:45.615801205487756,lng:8.737876005280128},{lat:45.61569879325901,lng:8.737117995412037},{lat:45.63300837724118,lng:8.73233636000968},{lat:45.633110821096345,lng:8.73309459522471},	45.615750	8.737497	45.650369	8.727931
LIRF	07	{lat:41.79913179651792,lng:12.232236550156756},{lat:41.79951220340456,lng:12.232047449281977},{lat:41.8046667296056,lng:12.250712495822853},{lat:41.80428629211713,lng:12.250901501093134},	41.799322	12.232142	41.809628	12.269475
LIRF	16L	{lat:41.845888594740146,lng:12.261147997689902},{lat:41.84604940422147,lng:12.261840003179774},{lat:41.8292870966014,lng:12.268857258374567},{lat:41.82912632923406,lng:12.268165416484054},	41.845969	12.261494	41.812444	12.275525
LIRF	16R	{lat:41.8154365137532,lng:12.226018196166732},{lat:41.8155974852097,lng:12.226709804702388},{lat:41.79883617781031,lng:12.233731059028855},{lat:41.79867524846265,lng:12.233039613775274},	41.815517	12.226364	41.781994	12.240403
LIRF	25	{lat:41.809818234001476,lng:12.269380544916942},{lat:41.80943776592113,lng:12.269569454522069},{lat:41.80428629211713,lng:12.250901501093134},{lat:41.8046667296056,lng:12.250712495822853},	41.809628	12.269475	41.799322	12.232142
LIRF	34L	{lat:41.782074443118766,lng:12.240748641479547},{lat:41.781913555845236,lng:12.24005735938769},{lat:41.79867524846265,lng:12.233039613775276},{lat:41.79883617781031,lng:12.23373105902886},	41.781994	12.240403	41.815517	12.226364
LIRF	34R	{lat:41.812524362125394,lng:12.275870839639797},{lat:41.81236363683732,lng:12.275179161227989},{lat:41.82912632923406,lng:12.26816541648405},{lat:41.8292870966014,lng:12.268857258374565},	41.812444	12.275525	41.845969	12.261494
LOWW	11	{lat:48.122631665677794,lng:16.533224852686626},{lat:48.12299633416841,lng:16.533491148258623},{lat:48.116114747548764,lng:16.554630537159007},{lat:48.1157501279027,lng:16.55436412722071},	48.122814	16.533358	48.109047	16.575631
LOWW	16	{lat:48.119727863723945,lng:16.577874588987353},{lat:48.1198381355343,lng:16.578459411640306},{lat:48.10426230697571,lng:16.585047325838563},{lat:48.10415206858461,lng:16.584462666290506},	48.119783	16.578167	48.088631	16.591339
LOWW	29	{lat:48.10922928531914,lng:16.57576426256331},{lat:48.10886471452678,lng:16.575497738382037},{lat:48.1157501279027,lng:16.55436412722071},{lat:48.116114747548764,lng:16.554630537159007},	48.109047	16.575631	48.122814	16.533358
LOWW	34	{lat:48.088686102129195,lng:16.591631248595434},{lat:48.08857589712977,lng:16.591046752030813},{lat:48.10415206858461,lng:16.584462666290506},{lat:48.10426230697571,lng:16.585047325838563},	48.088631	16.591339	48.119783	16.578167
LROP	08L	{lat:44.57642029625263,lng:26.08413014903114},{lat:44.576823703739436,lng:26.084069850759704},{lat:44.57847728896813,lng:26.105901305542655},{lat:44.57807387000913,lng:26.10596145406506},	44.576622	26.084100	44.579925	26.127764
