airport	runway	bbox
LROP	08R	{lat:44.56445929832499,lng:26.07677717014265},{lat:44.56486270166706,lng:26.07671682964813},{lat:44.56651878850857,lng:26.098556783505472},{lat:44.56611537368185,lng:26.09861697425988}
LROP	26L	{lat:44.5681707131378,lng:26.120397979403815},{lat:44.56776728685433,lng:26.120458020387968},{lat:44.56611537368185,lng:26.09861697425988},{lat:44.56651878850857,lng:26.098556783505472}
LSZH	10	{lat:47.45867046641793,lng:8.537439414872097},{lat:47.45920753356703,lng:8.537522585552688},{lat:47.458039209138256,lng:8.554009035516668},{lat:47.457502153922874,lng:8.553925698286855}
LSZH	28	{lat:47.45686852162155,lng:8.570494752089981},{lat:47.456331478363296,lng:8.570411248336452},{lat:47.457502153922874,lng:8.553925698286855},{lat:47.458039209138256,lng:8.55400903551667}
LSZH	14	{lat:47.48190889041045,lng:8.535781397392407},{lat:47.48227510884011,lng:8.536368604654294},{lat:47.471875948288194,lng:8.550564404688801},{lat:47.471509802330026,lng:8.54997721470941}
LSZH	32	{lat:47.4614750363829,lng:8.564754587336319},{lat:47.4611089628677,lng:8.564167414707958},{lat:47.471509802330026,lng:8.54997721470941},{lat:47.471875948288194,lng:8.550564404688801}
LSZH	16	{lat:47.47560001629248,lng:8.535573873973187},{lat:47.47582798256741,lng:8.53629812759785},{lat:47.46260881413326,lng:8.54540334531307},{lat:47.46238090518729,lng:8.544679234340693}
LSZH	34	{lat:47.449388925257786,lng:8.55450398497525},{lat:47.44916107360293,lng:8.55378001659293},{lat:47.46238090518729,lng:8.544679234340693},{lat:47.46260881413326,lng:8.54540334531307}
NZAA	05R	{lat:-37.01650870091138,lng:174.77086604087253},{lat:-37.01612529903076,lng:174.77069995954648},{lat:-37.01129609285474,lng:174.78818053167953},{lat:-37.01167947037249,lng:174.78834669063704}
NZAA	23L	{lat:-37.00646432339713,lng:174.8056588819356},{lat:-37.006847676544915,lng:174.80582511848357},{lat:-37.01167947037249,lng:174.78834669063704},{lat:-37.01129609285474,lng:174.78818053167953}
OEJN	16C	{lat:21.694976036422098,lng:39.151271182060036},{lat:21.695161963131703,lng:39.15181681829217},{lat:21.6782165861282,lng:39.15850407661493},{lat:21.67803068128491,lng:39.15795849592474}
OEJN	34C	{lat:21.66127094127629,lng:39.165189762775},{lat:21.661085058278246,lng:39.16464423757646},{lat:21.67803068128491,lng:39.15795849592474},{lat:21.6782165861282,lng:39.15850407661493}
OEJN	16L	{lat:21.700349099282878,lng:39.16685514707806},{lat:21.70053490027072,lng:39.16740085327406},{lat:21.683586023155755,lng:39.17408461153867},{lat:21.683400244029915,lng:39.173538960931616}
OEJN	34R	{lat:21.666636878419617,lng:39.180766797709914},{lat:21.666451121134724,lng:39.180221202641455},{lat:21.683400244029915,lng:39.173538960931616},{lat:21.683586023155755,lng:39.17408461153867}
OEJN	16R	{lat:21.70266300287413,lng:39.126608180739154},{lat:21.702848996679553,lng:39.127153819613326},{lat:21.686750107320744,lng:39.133510003385055},{lat:21.686564134305453,lng:39.132964417293664}
OEJN	34L	{lat:21.670650975899278,lng:39.13986476685288},{lat:21.670465023655098,lng:39.139319233498874},{lat:21.686564134305453,lng:39.132964417293664},{lat:21.686750107320744,lng:39.133510003385055}
OEMA	17	{lat:24.57635478468639,lng:39.70302249196424},{lat:24.576457214752654,lng:39.703605508274094},{lat:24.557250261790568,lng:39.707685090074904},{lat:24.557147847419778,lng:39.70710215976778}
OEMA	35	{lat:24.538043199065783,lng:39.71176342231478},{lat:24.53794080037424,lng:39.71118057792301},{lat:24.557147847419778,lng:39.70710215976778},{lat:24.557250261790568,lng:39.707685090074904}
OEMA	18	{lat:24.56351936948767,lng:39.7037194574089},{lat:24.56349263018552,lng:39.70416454254362},{lat:24.549755134931775,lng:39.703166909026194},{lat:24.5497818713047,lng:39.70272187243667}
